model,step,train_loss,loss,token_accuracy,sequence_accuracy
transformer,1,3.604702949523926,3.4404491424560546,0.0953125,0.0
transformer,50,2.1631016731262207,2.052547073364258,0.37604166666666666,0.0
transformer,100,1.597281575202942,1.495932364463806,0.48541666666666666,0.0
transformer,150,1.3209526538848877,1.0912720203399657,0.5973958333333333,0.025
transformer,200,1.0399733781814575,0.7474164485931396,0.74375,0.10625
transformer,250,0.8298502564430237,0.5635629415512085,0.8041666666666667,0.19375
transformer,300,0.7148314118385315,0.45101295709609984,0.8348958333333333,0.28125
transformer,350,0.6795936226844788,0.3515584170818329,0.878125,0.40625
transformer,400,0.5556632876396179,0.3218458592891693,0.8890625,0.478125
no_residual,1,3.7557430267333984,3.4464402198791504,0.06041666666666667,0.0
no_residual,50,3.0286808013916016,2.980317211151123,0.16770833333333332,0.0
no_residual,100,2.892979860305786,2.8013265132904053,0.16822916666666668,0.0
no_residual,150,2.8445885181427,2.7419267654418946,0.1703125,0.0
no_residual,200,2.847108840942383,2.7361597061157226,0.171875,0.0
no_residual,250,2.7881202697753906,2.662291479110718,0.17760416666666667,0.0
no_residual,300,2.695937156677246,2.649136209487915,0.17447916666666666,0.0
no_residual,350,2.764004707336426,2.6323648929595946,0.17447916666666666,0.0
no_residual,400,2.6579549312591553,2.6118998527526855,0.17760416666666667,0.0
