model,step,train_loss,loss,token_accuracy,sequence_accuracy
transformer,1,3.6013669967651367,3.54016649723053,0.059027777777777776,0.0
transformer,50,2.6112284660339355,2.5700738430023193,0.23350694444444445,0.0
transformer,100,2.2200934886932373,2.1353732347488403,0.3055555555555556,0.0
transformer,150,1.9185316562652588,1.7746549844741821,0.3810763888888889,0.0
transformer,160,1.8670461177825928,1.6983738541603088,0.3984375,0.0
no_residual,1,3.6773080825805664,3.4899896383285522,0.04079861111111111,0.0
no_residual,50,3.2523486614227295,3.216954827308655,0.11197916666666667,0.0
no_residual,100,3.154658079147339,3.0940003395080566,0.11631944444444445,0.0
no_residual,150,3.069387435913086,3.048918843269348,0.1189236111111111,0.0
no_residual,160,3.0339348316192627,3.051197648048401,0.11284722222222222,0.0
